	legnum
evenBo20.oddBo50	28547
evenBo24.oddBo87	6046
evenBo10.oddBo72	23551
evenBo1.oddBo34	1527
evenBo14.oddBo69	21569
evenBo16.oddBo56	14637
evenBo34.oddBo41	73429
evenBo16.oddBo16	24094
evenBo34.oddBo93	19942
evenBo10.oddBo53	39063
evenBo50.oddBo72	65018
evenBo24.oddBo21	9016
evenBo30.oddBo54	81393
evenBo13.oddBo76	45078
evenBo31.oddBo43	49882
evenBo14.oddBo64	111588
evenBo24.oddBo5	25299
evenBo9.oddBo43	18554
evenBo29.oddBo62	40748
evenBo29.oddBo46	42243
evenBo47.oddBo68	30410
evenBo35.oddBo13	89672
evenBo40.oddBo32	7358
evenBo10.oddBo41	3315
evenBo34.oddBo78	9594
evenBo22.oddBo50	106165
evenBo38.oddBo25	16081
evenBo10.oddBo45	40706
evenBo46.oddBo69	78277
evenBo14.oddBo46	23357
evenBo40.oddBo48	41591
evenBo30.oddBo73	83293
evenBo50.oddBo87	61669
evenBo25.oddBo89	21177
evenBo29.oddBo71	79021
evenBo23.oddBo83	56508
evenBo43.oddBo40	13911
evenBo41.oddBo44	61910
evenBo43.oddBo34	13654
evenBo25.oddBo43	18541
evenBo29.oddBo33	73722
evenBo39.oddBo88	8875
evenBo38.oddBo47	55399
evenBo28.oddBo56	98532
evenBo21.oddBo25	14710
evenBo29.oddBo22	14846
evenBo26.oddBo66	17225
evenBo27.oddBo80	10336
evenBo37.oddBo51	35169
evenBo21.oddBo39	10462
evenBo28.oddBo29	48833
evenBo39.oddBo5	1526
evenBo36.oddBo43	128061
evenBo21.oddBo12	18712
evenBo43.oddBo24	1525
evenBo34.oddBo48	41438
evenBo15.oddBo78	15337
evenBo19.oddBo82	18295
evenBo18.oddBo51	140772
evenBo12.oddBo68	103829
evenBo16.oddBo95	1212
evenBo18.oddBo45	14628
evenBo44.oddBo57	8559
evenBo40.oddBo80	148807
evenBo46.oddBo49	52668
evenBo36.oddBo81	25793
evenBo10.oddBo65	181513
evenBo39.oddBo47	39651
evenBo18.oddBo81	11422
evenBo17.oddBo7	24148
evenBo32.oddBo17	7682
evenBo24.oddBo6	8423
evenBo39.oddBo59	176057
evenBo20.oddBo44	14834
evenBo29.oddBo68	73861
evenBo16.oddBo66	45846
evenBo31.oddBo44	29613
evenBo12.oddBo46	38477
evenBo37.oddBo11	37342
evenBo22.oddBo52	29877
evenBo39.oddBo76	36698
evenBo33.oddBo42	59320
evenBo40.oddBo16	13500
evenBo37.oddBo37	48906
evenBo31.oddBo45	40631
evenBo38.oddBo16	40981
evenBo37.oddBo24	11597
evenBo15.oddBo19	4480
evenBo38.oddBo39	42644
evenBo18.oddBo75	74387
evenBo24.oddBo76	45755
evenBo16.oddBo49	32122
evenBo20.oddBo4	31009
evenBo10.oddBo83	1837
evenBo28.oddBo16	54733
evenBo20.oddBo75	14687
evenBo18.oddBo21	3249
evenBo19.oddBo53	44215
evenBo28.oddBo69	95048
evenBo31.oddBo81	25496
evenBo7.oddBo26	11800
evenBo31.oddBo68	95338
evenBo9.oddBo39	15420
